symptom,disease
Early-onset cataract,Snowflake vitreoretinal degeneration
Retinal detachment,Snowflake vitreoretinal degeneration
Loss of appetite,Pulmonary fibrosis
Cough,Pulmonary fibrosis
Shortness of breath,Pulmonary fibrosis
Chest discomfort,Pulmonary fibrosis
Anorexia,Pulmonary fibrosis
Dyspnoea,Pulmonary fibrosis
Petichiae,Purpura
Types of purpura,Purpura
Tiny red spots,Purpura
Bruising,Purpura
Skin bleeding,Purpura
Thick oozing fluid from the retina,"Retinopathy, arteriosclerotic"
Impaired oxygen supply to retina,"Retinopathy, arteriosclerotic"
Hardening of arteries in the eye,"Retinopathy, arteriosclerotic"
Vision impairments,"Retinopathy, arteriosclerotic"
Retinal bleeding,"Retinopathy, arteriosclerotic"
Pain during sex,Retroverted uterus
Difficulty inserting tampon,Retroverted uterus
Tilted uterus,Retroverted uterus
Back pain during sex,Retroverted uterus
Menstrual pain,Retroverted uterus
Cramping,Short bowel syndrome
Diarrhea,Short bowel syndrome
Abdominal bloating,Short bowel syndrome
Malnutrition,Short bowel syndrome
Heartburn,Short bowel syndrome
Shoulder redness,Shoulder fracture
Severe shoulder pain,Shoulder fracture
Shoulder deformity,Shoulder fracture
Shoulder bruising,Shoulder fracture
Chest pain,Smokers throat
Shortness of breath or wheezing,Smokers throat
Smokers cough,Smokers throat
Fatigue or malaise,Smokers throat
Fever,Smokers throat
Shortness of breath,Smokers throat
Decreased leg mobility,Thigh conditions
Thigh redness,Thigh conditions
Thigh pain,Thigh conditions
Bruising,Thigh conditions
Thigh lump,Thigh conditions
Thigh swelling,Thigh conditions
Decreased leg mobility,Thigh injury
Thigh redness,Thigh injury
Thigh pain,Thigh injury
Bruising,Thigh injury
Thigh lump,Thigh injury
Thigh swelling,Thigh injury
Chest pain,Unstable angina
Choking sensation,Unstable angina
Referred pain,Unstable angina
Shortness of breath,Unstable angina
Chest discomfort,Unstable angina
Heartburn,Unstable angina
Cardiac arrhythmias,Venlafaxine toxicity
Lethargy,Venlafaxine toxicity
Ecg changes,Venlafaxine toxicity
Seizures,Venlafaxine toxicity
Somnolence,Venlafaxine toxicity
Progressive spastic paraparesis,Adult-onset ald
Slow progression,Adult-onset ald
Leg stiffness,Adult-onset ald
Ataxia,Adult-onset ald
Stiffness,Adult-onset ald
Muscle spasms,Alkalosis
Irritability,Alkalosis
Muscle weakness,Alkalosis
Muscle twitches,Alkalosis
Nausea,Astroviruses
Diarrhea,Astroviruses
Malaise,Astroviruses
Abdominal pain,Astroviruses
Fever,Astroviruses
Swelling beside vaginal entrance,Bartholin's cyst
Local vaginal discomfort,Bartholin's cyst
Cysts,Bartholin's cyst
Discomfort during intercourse,Bartholin's cyst
Nausea,Brain abscess
Headaches,Brain abscess
Disturbed vision,Brain abscess
Fever,Brain abscess
Jaw pain,Broken jaw
Difficulty opening mouth,Broken jaw
Bruised jaw,Broken jaw
Bleeding jaw,Broken jaw
Swollen jaw,Broken jaw
Ear pain,Broken jaw
Localized skin infection,Catheter infection
Septicemia,Catheter infection
Red sore skin around catheter insertion point,Catheter infection
Pelvic pain,Catheter infection
Fever,Catheter infection
Burning during urination,Catheter infection
Loss of hearing in one ear,Ear foreign body
Ear discharge,Ear foreign body
Fretfulness of child,Ear foreign body
Reduced hearing,Ear foreign body
Ear pain,Ear foreign body
Spastic paraparesis of the lower limbs,Female carrier ald
Mild peripheral neuropathy,Female carrier ald
Urinary problems,Female carrier ald
Ataxia,Female carrier ald
Excessive muscle tone,Female carrier ald
Night urination,Hypercalcuria
Urination pain,Hypercalcuria
Increased thirst,Hypercalcuria
Increased urination,Hypercalcuria
Tetany,Hyperphosphataemia
Hyperkalemia,Hyperphosphataemia
Calcium deposits in tissues - in severe cases,Hyperphosphataemia
High level of phosphates in blood,Hyperphosphataemia
Hypermagnesemia,Hyperphosphataemia
Low blood calcium level,Hyperphosphataemia
Bowel obstruction,Intussusception
Abdominal colic,Intussusception
Screaming (infant),Intussusception
Blood in stool,Intussusception
Symptoms of bowel obstruction,Intussusception
Feeling faint on standing up,Vascular neuropathy
Low blood pressure (hypotension),Vascular neuropathy
Orthostatic hypotension,Vascular neuropathy
Postural hypotension,Vascular neuropathy
Curly hair,"Progressive kinking of the hair, acquired"
Hair loss,"Progressive kinking of the hair, acquired"
Patches of sparse hair,"Progressive kinking of the hair, acquired"
Lusterless hair,"Progressive kinking of the hair, acquired"
Frizzy hair,"Progressive kinking of the hair, acquired"
Nausea,Boron overuse
Diarrhea,Boron overuse
Dermatitis,Boron overuse
Lethargy,Boron overuse
Impaired digestion,Boron overuse
Reduced appetite,Boron overuse
Polycythemia,Kidney arteriovenous fistula
Headaches,Kidney arteriovenous fistula
Arteriovenous fistula of the kidney,Kidney arteriovenous fistula
Hypertension,Kidney arteriovenous fistula
Heart edema,Kidney arteriovenous fistula
Cardiac failure,Kidney arteriovenous fistula
Coma,Nimodipine toxicity
Metabolic acidosis,Nimodipine toxicity
Hypotension,Nimodipine toxicity
Bradycardia,Nimodipine toxicity
Hyperglycemia,Nimodipine toxicity
Impaired color vision,Retinal cone dystrophy 3b
Night blindness,Retinal cone dystrophy 3b
Progressive vision loss,Retinal cone dystrophy 3b
Progressive light sensitivity,Retinal cone dystrophy 3b
Abnormal blue cone electroretinogram,"Colorblindness, tritanopic"
Impaired yellow vision,"Colorblindness, tritanopic"
Impaired blue vision,"Colorblindness, tritanopic"
Normal red and green vision,"Colorblindness, tritanopic"
Itchy skin,"Lymphoma, small cleaved-cell, follicular"
Night sweats,"Lymphoma, small cleaved-cell, follicular"
Enlarge lymph nodes,"Lymphoma, small cleaved-cell, follicular"
Abdominal pain,"Lymphoma, small cleaved-cell, follicular"
Lymphadenopathy,"Lymphoma, small cleaved-cell, follicular"
Fever,"Lymphoma, small cleaved-cell, follicular"
Fusion of joints where fingers attach to hand,"Synostoses, tarsal, carpal, and digital"
Underdeveloped middle bones in toes,"Synostoses, tarsal, carpal, and digital"
Fused wrist bones,"Synostoses, tarsal, carpal, and digital"
Fused ankle bones,"Synostoses, tarsal, carpal, and digital"
Absent middle bones in fingers,"Synostoses, tarsal, carpal, and digital"
Partial dislocation of elbows,"Synostoses, tarsal, carpal, and digital"
Skin redness,Chilblain
Toe skin inflammation,Chilblain
Finger skin inflammation,Chilblain
Itchy skin inflammation,Chilblain
Earlobe inflammation,Chilblain
Difficulty with expressive language,Stroke-like aphasia
Language problems,Stroke-like aphasia
Difficulty understanding speech,Stroke-like aphasia
Reading difficulty,Stroke-like aphasia
Writing difficulties,Stroke-like aphasia
Loss of achilles reflex,Putti-chavany syndrome
Sensory changes in foot,Putti-chavany syndrome
Pain in buttocks,Putti-chavany syndrome
Foot pains,Putti-chavany syndrome
Foot paralysis,Putti-chavany syndrome
Low grade fever,Nonspecific interstitial pneumonia
Dry cough,Nonspecific interstitial pneumonia
Persistent unwell feeling,Nonspecific interstitial pneumonia
Shortness of breath,Nonspecific interstitial pneumonia
Pulmonary edema,Pulmonary oxygen toxicity
Pain behind the breast bone,Pulmonary oxygen toxicity
Breathing difficulties,Pulmonary oxygen toxicity
Lung inflammation,Pulmonary oxygen toxicity
Widening of eye opening when looking towards ears,Duane retraction syndrome i
Protrusion of eyeballs when looking towards ears,Duane retraction syndrome i
Inability to move eyeballs inwards to nose,Duane retraction syndrome i
Narrowing of eye opening when looking towards nose,Duane retraction syndrome i
Retracted eyeballs when looking towards nose,Duane retraction syndrome i
Nausea,Salmonella enteritidis infection
Abdominal discomfort,Salmonella enteritidis infection
Diarrhea,Salmonella enteritidis infection
Fever,Salmonella enteritidis infection
Enlarged liver,Ballard syndrome
Low blood immunoglobulin level,Ballard syndrome
Fractures,Ballard syndrome
Impaired immunity,Ballard syndrome
Epileptic seizures,Neurodegeneration due to cerebral folate transport deficiency
Severe handicap,Neurodegeneration due to cerebral folate transport deficiency
Unable to walk,Neurodegeneration due to cerebral folate transport deficiency
Mental retardation,Neurodegeneration due to cerebral folate transport deficiency
Coma,Felodipine toxicity
Metabolic acidosis,Felodipine toxicity
Hypotension,Felodipine toxicity
Bradycardia,Felodipine toxicity
Hyperglycemia,Felodipine toxicity
Absent eyes,"Microphthalmia syndromic, type 4"
Mental retardation,"Microphthalmia syndromic, type 4"
Ankyloblepharon,"Microphthalmia syndromic, type 4"
Small eyes,"Microphthalmia syndromic, type 4"
Lump on roof of mouth,Polymorphous low-grade adenocarcinoma
Bleeding in mouth,Polymorphous low-grade adenocarcinoma
Salivary gland lump,Polymorphous low-grade adenocarcinoma
Tongue lump,Polymorphous low-grade adenocarcinoma
Lump in mouth,Polymorphous low-grade adenocarcinoma
Short limbs,Splenogonadal fusion -- peromelia syndrome
Testes joined to spleen,Splenogonadal fusion -- peromelia syndrome
Ovaries joined to spleen,Splenogonadal fusion -- peromelia syndrome
Painless testicular mass,Splenogonadal fusion -- peromelia syndrome
Absent limbs,Splenogonadal fusion -- peromelia syndrome
Missing bone in limb,Splenogonadal fusion -- peromelia syndrome
Eardrum blisters,Infectious myringitis
Impaired hearing,Infectious myringitis
Ear discharge,Infectious myringitis
Inflamed eardrum,Infectious myringitis
Ear pain,Infectious myringitis
Black-blue scalp nodule,Angiosarcoma of the scalp
Bleeding from scalp lesion,Angiosarcoma of the scalp
Persistent scalp ulcer,Angiosarcoma of the scalp
Scalp pain,Angiosarcoma of the scalp
Black stool,Hemorrhagic proctocolitis
Blood in stool,Hemorrhagic proctocolitis
Gastrointestinal bleeding,Hemorrhagic proctocolitis
Mucus in stool,Hemorrhagic proctocolitis
Rectal inflammation,Hemorrhagic proctocolitis
Colon inflammation,Hemorrhagic proctocolitis
Spinal hemorrhage,Zanoli-vecchi syndrome
Non-breathing periods (apnea),Zanoli-vecchi syndrome
Convulsions,Zanoli-vecchi syndrome
Loss of consciousness,Zanoli-vecchi syndrome
Localized burning sensation,Bristleworm poisoning
Urticarial rash,Bristleworm poisoning
Localized pain,Bristleworm poisoning
Skin inflammation,Bristleworm poisoning
Localized skin redness,Bristleworm poisoning
Abnormal bleeding,Vulvar neoplasms
Tender vulvar area,Vulvar neoplasms
Vaginal itching,Vulvar neoplasms
Urination pain,Vulvar neoplasms
Vaginal lump,Vulvar neoplasms
Vaginal discharge,Vulvar neoplasms
Deficient or absent ulna bone,Ulna hemimelia
Hand drifts towards,Ulna hemimelia
Bowed arms,Ulna hemimelia
Shortened arms,Ulna hemimelia
Shortness of breath during exercise,High altitude pulmonary edema
Cough,High altitude pulmonary edema
Progressive shortness of breath,High altitude pulmonary edema
Suffocation,High altitude pulmonary edema
Short limbs,Pseudoachondroplastic dysplasia 2
Restricted elbow extension,Pseudoachondroplastic dysplasia 2
Premature arthrosis,Pseudoachondroplastic dysplasia 2
Lordosis,Pseudoachondroplastic dysplasia 2
Bowed legs,Pseudoachondroplastic dysplasia 2
Retarded growth,Pseudoachondroplastic dysplasia 2
Abnormal opening between trachea and esophagus,Turpin syndrome
Congenital bronchiectasis,Turpin syndrome
Heterotopic ductus thoracicus,Turpin syndrome
Vertebral deformities,Turpin syndrome
Enlarged esophagus,Turpin syndrome
Rib malformations,Turpin syndrome
Ophthalmoplegia,Opthalmoplegia progressive external scoliosis
Kyphosis,Opthalmoplegia progressive external scoliosis
Scoliosis,Opthalmoplegia progressive external scoliosis
Mental retardation,Opthalmoplegia progressive external scoliosis
Short neck,Opthalmoplegia progressive external scoliosis
Nystagmus,Opthalmoplegia progressive external scoliosis
Intracranial hypertension,Hemimegalencephaly
Bulging fontanels,Hemimegalencephaly
Hemianopia,Hemimegalencephaly
Mental retardation,Hemimegalencephaly
Seizures,Hemimegalencephaly
Progressive paralysis on one side of the body,Hemimegalencephaly
Blue eyes,Blegvad-haxthausen syndrome
Skin atrophy,Blegvad-haxthausen syndrome
Zonular cataract,Blegvad-haxthausen syndrome
Areas of wrinkled skin,Blegvad-haxthausen syndrome
Osteogenesis imperfecta,Blegvad-haxthausen syndrome
Small head,Seckel syndrome 4
Mental retardation,Seckel syndrome 4
Bird-headed facial appearance,Seckel syndrome 4
Retarded growth,Seckel syndrome 4
Eye pain,Ocular vaccinia
Eye blisters,Ocular vaccinia
Malaise,Ocular vaccinia
Eye swelling,Ocular vaccinia
Red eyes,Ocular vaccinia
Romberg's sign,Sensory ataxia
Abnormal writhing movements - usually of the fingers,Sensory ataxia
Problems with balance,Sensory ataxia
Loss of proprioception,Sensory ataxia
Immunodeficiency,Albinism immunodeficiency
Albinism,Albinism immunodeficiency
Lack of hair colouring,Albinism immunodeficiency
Lack of skin colouring,Albinism immunodeficiency
Lack of iris colouring,Albinism immunodeficiency
Dry mouth,Impramine toxicity
Difficulty urinating,Impramine toxicity
Confusion,Impramine toxicity
Sedation,Impramine toxicity
Heart effects,Impramine toxicity
Lack of participation in group activities,Sopite syndrome
Yawning,Sopite syndrome
Disinterest in work,Sopite syndrome
Mental depression,Sopite syndrome
Mood changes,Sopite syndrome
Sleep disturbances,Sopite syndrome
Skin anomalies,Herpetic embryopathy
Premature birth,Herpetic embryopathy
Congenital malformations,Herpetic embryopathy
Retarded fetal growth,Herpetic embryopathy
Neonatal herpes infection,Herpetic embryopathy
Progressive los of visual acuity,Vasterbotten dystrophy
Blindness,Vasterbotten dystrophy
Night blindness,Vasterbotten dystrophy
Electroretinogram abnormalities,Vasterbotten dystrophy
Retinitis punctata albescens,Vasterbotten dystrophy
Constipations,Colonic diverticulosis
Diarrhoea,Colonic diverticulosis
Abdominal bloating,Colonic diverticulosis
Abdominal pain,Colonic diverticulosis
Cramping pain,Colonic diverticulosis
Abnormal uterine bleeding,Tubal ligation syndrome
Premenstrual tension,Tubal ligation syndrome
Absence of menstruation,Tubal ligation syndrome
Pain during sex,Tubal ligation syndrome
Pelvic pain,Tubal ligation syndrome
Menstrual pain,Tubal ligation syndrome
Short hair,Hypotrichosis simplex
Thin hair,Hypotrichosis simplex
Sparse hair,Hypotrichosis simplex
Slow hair growth,Hypotrichosis simplex
Hepatotoxicity,Anaesthesia complications
Tachycardia,Anaesthesia complications
Constipations,Anaesthesia complications
Glaucoma,Anaesthesia complications
Vasodilation,Anaesthesia complications
Urinary retention,Anaesthesia complications
Enlarged liver,Stuart-bras disease
Liver scarring,Stuart-bras disease
Ascites,Stuart-bras disease
Blockage of small and medium sized liver veins,Stuart-bras disease
Corneal swelling,Sattler veil
Corneal blistering,Sattler veil
Blurred vision,Sattler veil
Visual halos,Sattler veil
Impaired color vision,Retinal cone dystrophy 3a
Night blindness,Retinal cone dystrophy 3a
Progressive vision loss,Retinal cone dystrophy 3a
Progressive light sensitivity,Retinal cone dystrophy 3a
Sepsis,Group b streptococcal infections
Diabetes mellitus,Group b streptococcal infections
Pneumonia,Group b streptococcal infections
Meningitis,Group b streptococcal infections
Urinary tract infections,Group b streptococcal infections
Abdominal pain,Hereditary colorectal cancer
Occult bleeding,Hereditary colorectal cancer
Intestinal obstruction,Hereditary colorectal cancer
Altered bowel habits,Hereditary colorectal cancer
Decreased shoulder mobility,Shoulder conditions
Shoulder swelling,Shoulder conditions
Shoulder deformity,Shoulder conditions
Shoulder pain,Shoulder conditions
Decreased shoulder mobility,Shoulder injury
Shoulder swelling,Shoulder injury
